Samples	guidi_srf_kmeans_3	guidi_srf_kmeans_4	guidi_srf_kmeans_5	guidi_srf_kmeans_6	guidi_srf_kmeans_7	guidi_srf_kmeans_8	clr_guidi_srf_kmeans_3	clr_guidi_srf_kmeans_4	clr_guidi_srf_kmeans_5	clr_guidi_srf_kmeans_6	clr_guidi_srf_kmeans_7	clr_guidi_srf_kmeans_8	M0_srf_kmeans_3	M0_srf_kmeans_4	M0_srf_kmeans_5	M0_srf_kmeans_6	M0_srf_kmeans_7	M0_srf_kmeans_8	clr_M0_srf_kmeans_3	clr_M0_srf_kmeans_4	clr_M0_srf_kmeans_5	clr_M0_srf_kmeans_6	clr_M0_srf_kmeans_7	clr_M0_srf_kmeans_8	M1_srf_kmeans_3	M1_srf_kmeans_4	M1_srf_kmeans_5	M1_srf_kmeans_6	M1_srf_kmeans_7	M1_srf_kmeans_8	clr_M1_srf_kmeans_3	clr_M1_srf_kmeans_4	clr_M1_srf_kmeans_5	clr_M1_srf_kmeans_6	clr_M1_srf_kmeans_7	clr_M1_srf_kmeans_8	salazar_srf_kmeans_3	salazar_srf_kmeans_4	salazar_srf_kmeans_5	salazar_srf_kmeans_6	salazar_srf_kmeans_7	salazar_srf_kmeans_8	clr_salazar_srf_kmeans_3	clr_salazar_srf_kmeans_4	clr_salazar_srf_kmeans_5	clr_salazar_srf_kmeans_6	clr_salazar_srf_kmeans_7	clr_salazar_srf_kmeans_8	stress_srf_kmeans_3	stress_srf_kmeans_4	stress_srf_kmeans_5	stress_srf_kmeans_6	stress_srf_kmeans_7	stress_srf_kmeans_8	clr_stress_srf_kmeans_3	clr_stress_srf_kmeans_4	clr_stress_srf_kmeans_5	clr_stress_srf_kmeans_6	clr_stress_srf_kmeans_7	clr_stress_srf_kmeans_8
S01_Z00	1	1	0	1	1	1	2	0	1	1	6	2	0	0	0	1	3	1	0	0	4	3	0	6	0	1	2	1	0	2	2	0	4	4	5	3	0	2	0	1	5	0	2	3	0	0	5	5	1	1	2	0	0	1	2	2	1	4	2	0
S02_Z00	1	1	0	1	1	1	2	0	1	1	6	2	0	1	4	1	3	1	0	0	4	3	0	6	0	0	2	1	0	2	2	0	4	4	5	3	0	2	0	1	5	0	2	3	0	0	2	5	1	1	2	0	0	1	2	2	1	0	0	2
S03_Z00	1	1	2	4	3	4	2	0	1	1	6	2	0	0	0	5	6	5	0	0	4	3	0	6	0	1	1	3	4	4	2	0	4	4	5	3	0	2	0	1	1	0	2	3	0	0	2	5	1	0	1	5	4	3	2	2	1	4	2	0
S04_Z00	1	1	2	4	3	4	2	0	1	1	6	2	0	0	0	5	6	5	0	0	4	3	0	6	0	1	1	3	4	4	2	0	4	4	5	3	0	2	0	4	1	6	2	3	0	0	5	5	1	0	1	5	4	3	2	2	1	0	0	2
S05_Z00	1	1	2	4	3	4	2	0	1	0	5	0	0	0	0	5	6	5	1	1	1	1	1	2	0	1	1	3	4	4	0	1	2	2	1	1	0	2	0	4	1	6	2	3	1	5	2	1	1	0	1	5	4	3	2	2	1	4	2	0
S06_Z00	0	2	4	5	0	3	0	2	0	4	3	5	2	3	3	2	4	2	1	2	3	2	2	1	2	3	3	2	2	6	0	2	1	5	2	4	2	1	1	2	2	1	2	2	3	1	3	4	2	2	4	2	2	6	1	0	3	2	3	3
S07_Z00	0	2	4	5	0	3	0	2	0	4	3	5	2	3	3	2	4	2	1	2	3	2	2	1	2	3	3	2	2	6	0	2	1	5	2	4	2	1	1	2	2	1	2	2	3	1	3	4	2	2	4	2	5	2	1	0	2	3	5	5
S08_Z00	1	1	0	1	1	1	2	0	1	1	5	0	0	0	0	1	3	1	1	1	1	1	1	2	0	1	2	1	0	2	0	1	2	2	1	1	0	2	0	1	5	0	2	3	1	5	2	1	1	1	2	0	0	1	2	2	2	3	5	7
S09_Z00	0	0	1	3	2	2	2	0	4	5	0	7	1	2	2	0	1	0	1	1	1	1	4	2	1	2	0	0	1	7	0	1	2	1	1	7	1	0	2	0	0	2	2	3	0	0	5	5	0	3	3	4	1	4	2	2	1	0	0	2
S10_Z00	0	0	1	3	2	2	2	0	1	5	0	7	1	2	2	0	1	0	1	1	1	1	4	2	1	2	0	0	1	7	0	1	2	1	1	7	1	0	2	0	0	2	1	0	2	2	1	3	0	3	3	4	1	4	2	2	1	4	2	0
S11_Z00	0	0	0	0	4	0	2	0	1	5	0	7	2	1	4	4	2	4	1	1	1	1	1	2	2	0	2	5	6	1	0	1	2	1	6	6	1	0	2	0	0	3	2	3	0	0	5	5	0	1	2	1	3	0	2	2	1	4	2	0
S12_Z00	2	3	3	2	5	5	2	0	4	0	1	6	1	2	1	3	5	3	1	1	1	1	1	7	1	2	4	4	3	3	0	1	2	2	1	1	1	3	3	3	3	5	2	3	0	0	5	1	0	3	0	3	6	5	2	2	1	0	0	2
S13_Z00	0	0	0	0	4	0	2	0	4	0	1	6	2	1	4	4	2	4	1	1	1	1	1	7	2	0	2	5	6	1	0	1	2	2	1	1	1	0	2	0	5	3	0	3	0	0	5	1	0	1	2	1	3	0	1	3	4	5	6	4
S15_Z00	0	0	0	0	4	0	2	0	4	0	5	0	2	1	4	4	2	4	1	1	1	1	1	2	2	0	2	5	6	1	0	1	2	2	1	1	1	0	2	1	5	0	2	3	0	0	5	1	0	1	2	1	3	0	2	2	2	3	5	7
S16_Z00	0	0	1	3	2	2	2	0	4	1	1	4	1	2	2	0	1	0	1	1	1	1	5	0	1	2	0	0	1	7	0	1	2	2	1	1	1	3	4	5	4	4	2	3	0	0	5	5	0	3	3	4	1	4	2	2	1	0	0	2
S17_Z00	0	0	0	0	4	0	2	0	4	0	1	4	2	1	4	4	2	4	1	1	1	1	5	0	2	0	2	5	6	1	0	1	2	2	1	1	0	0	2	1	5	3	0	1	4	3	4	2	0	1	2	1	3	0	1	0	2	3	5	5
S18_Z00	1	1	0	1	1	6	2	0	4	5	1	7	2	1	4	1	0	7	0	0	4	5	5	5	0	0	2	1	5	0	2	0	4	4	0	0	1	3	4	5	6	7	0	1	4	3	4	2	1	1	2	1	3	1	2	2	2	3	5	7
S19_Z00	1	1	0	1	1	1	2	0	4	0	1	0	0	1	4	1	3	1	1	1	1	1	1	7	0	0	2	1	0	2	0	1	2	2	1	1	0	2	0	4	1	6	0	1	4	3	4	2	1	1	2	0	0	7	2	2	1	0	0	2
S20_Z00	0	0	0	0	4	0	2	0	4	0	1	4	2	1	4	4	2	4	1	1	1	1	1	7	2	0	2	5	6	1	0	1	2	2	1	1	1	0	2	0	0	3	0	1	4	3	4	2	0	1	2	1	3	0	2	2	2	3	5	7
S24_Z00	1	1	2	1	1	1	2	0	4	0	1	4	0	0	0	1	3	1	1	1	1	1	5	0	0	1	2	1	0	2	0	1	2	2	1	1	0	2	0	1	5	0	1	0	2	3	1	0	1	0	1	0	0	7	0	1	0	1	4	1
S25_Z00	1	1	2	1	1	1	1	1	2	3	4	1	0	0	0	1	3	1	2	1	2	4	3	4	0	1	2	1	0	2	1	3	3	0	3	2	0	2	0	4	1	6	1	0	2	2	1	3	1	0	1	0	0	7	0	1	0	1	1	6
S26_Z00	1	1	2	4	3	4	1	1	2	3	4	1	0	0	0	5	6	5	2	3	2	4	3	4	0	1	1	3	4	4	1	3	3	0	3	2	0	2	0	4	1	6	1	0	1	5	6	7	1	0	1	5	4	3	0	1	0	1	4	1
S27_Z00	0	0	1	3	6	7	2	0	4	0	1	6	2	1	2	0	1	6	1	1	1	1	1	7	2	0	0	5	6	5	0	1	2	2	1	1	1	0	2	0	0	3	0	1	4	4	0	6	0	3	3	4	1	0	2	2	2	3	5	7
S28_Z00	1	1	0	1	1	1	1	1	2	3	4	1	0	0	0	1	3	1	2	3	2	4	3	4	0	1	2	1	0	2	1	3	3	0	3	2	0	2	0	4	1	6	1	0	2	2	1	3	1	0	1	0	0	7	0	1	0	1	1	6
S29_Z00	0	0	0	0	4	0	1	1	2	3	4	1	2	1	4	4	2	4	2	3	2	4	3	4	2	0	2	5	6	1	1	3	3	0	3	2	0	2	0	1	5	0	1	0	2	2	1	3	1	1	2	0	0	1	0	1	0	1	1	6
S30_Z00	1	1	0	1	1	1	1	1	2	3	4	1	0	0	0	1	3	1	2	3	2	4	3	4	0	1	2	1	0	2	1	3	3	0	3	2	0	2	0	1	5	0	1	0	2	2	1	3	1	0	1	0	0	7	0	1	0	1	4	1
S31_Z00	1	1	2	4	3	4	1	3	3	2	2	3	0	0	0	5	6	5	2	3	0	0	6	3	0	1	1	3	4	4	1	3	0	3	4	5	0	2	0	4	1	6	1	0	2	2	6	3	1	0	1	5	4	3	0	1	0	1	1	6
S32_Z00	1	1	2	4	3	4	1	3	3	2	2	3	0	0	0	5	6	5	2	3	0	0	6	3	0	1	1	3	4	4	1	3	0	3	4	5	0	2	0	4	1	6	1	0	2	2	1	0	1	0	1	5	4	3	0	1	0	1	4	1
S33_Z00	1	1	2	1	1	1	1	3	3	2	2	3	0	0	0	1	3	1	2	3	0	0	6	3	0	1	1	1	0	2	1	3	0	3	4	5	0	2	0	4	1	6	1	0	2	2	1	3	1	0	1	0	0	7	0	1	0	1	4	1
S34_Z00	1	1	2	1	1	1	1	3	3	2	2	3	0	0	0	1	3	1	2	3	0	0	6	3	0	1	1	1	0	2	1	3	0	3	4	5	0	2	0	1	5	0	1	0	2	2	1	3	1	0	1	0	0	7	2	2	1	0	0	2
