Sample	Cluster
TSC001	0
TSC003	7
TSC005	6
TSC008	6
TSC013	1
TSC016	6
TSC020	6
TSC021	0
TSC025	0
TSC027	1
TSC031	1
TSC036	1
TSC045	1
TSC056	7
TSC060	7
TSC062	0
TSC065	4
TSC068	0
TSC070	1
TSC071	1
TSC073	1
TSC078	0
TSC085	1
TSC089	7
TSC092	1
TSC102	1
TSC110	1
TSC117	1
TSC126	1
TSC135	7
TSC140	3
TSC141	5
TSC145	5
TSC147	7
TSC148	6
TSC149	7
TSC152	7
TSC153	0
TSC156	6
TSC159	7
TSC163	7
TSC167	7
TSC170	7
TSC173	7
TSC184	7
TSC191	1
TSC199	6
TSC207	7
TSC210	1
TSC213	7
TSC216	6
TSC219	7
TSC222	7
TSC223	7
TSC224	7
TSC227	7
TSC229	7
TSC231	7
TSC233	7
TSC235	7
TSC237	7
TSC239	7
TSC242	7
TSC245	5
TSC248	5
TSC251	2
TSC254	2
TSC257	3
TSC259	2
TSC261	3
TSC264	1
TSC265	5
TSC267	5
TSC268	3
TSC270	5
TSC272	3
TSC273	1
TSC274	2
TSC276	2
TSC280	5
TSC281	3
TSC282	2
TSC285	3
